Using device: cuda:1
Using math SDPA backend for higher-order gradient compatibility.
Loading MNIST dataset...
Train samples: 60000, Test samples: 10000
Epoch 8 | Train Loss: 1.9335 | Test Accuracy: 25.27%
Epoch 9, Batch 0/1875: Loss=1.9214
Epoch 9, Batch 150/1875: Loss=1.9523
Epoch 9, Batch 300/1875: Loss=1.9317
Epoch 9, Batch 450/1875: Loss=1.7136
Epoch 9, Batch 600/1875: Loss=1.7702
Epoch 9, Batch 750/1875: Loss=1.9134
Epoch 9, Batch 900/1875: Loss=1.9902
Epoch 9, Batch 1050/1875: Loss=2.1214
Epoch 9, Batch 1200/1875: Loss=1.9469
Epoch 9, Batch 1350/1875: Loss=1.9571
Epoch 9, Batch 1500/1875: Loss=1.6061
Epoch 9, Batch 1650/1875: Loss=1.8967
Epoch 9, Batch 1800/1875: Loss=1.9284
Epoch 9 | Train Loss: 1.9391 | Test Accuracy: 25.90%
Final Test Accuracy: 25.90%

--- QI ViT-B/16 without Jet Loss ---
Epoch 0, Batch 0/1875: Loss=2.5125
Epoch 0, Batch 50/1875: Loss=2.4056
Epoch 0, Batch 100/1875: Loss=2.3316
Epoch 0, Batch 150/1875: Loss=2.3456
Epoch 0, Batch 200/1875: Loss=2.3955
Epoch 0, Batch 250/1875: Loss=2.3102
Epoch 0, Batch 300/1875: Loss=2.2412
Epoch 0, Batch 350/1875: Loss=2.3234
Epoch 0, Batch 400/1875: Loss=2.2460
Epoch 0, Batch 450/1875: Loss=2.3681
Epoch 0, Batch 500/1875: Loss=2.3349
Epoch 0, Batch 550/1875: Loss=2.3277
Epoch 0, Batch 600/1875: Loss=2.5088
Epoch 0, Batch 650/1875: Loss=2.2323
Epoch 0, Batch 700/1875: Loss=2.2885
Epoch 0, Batch 750/1875: Loss=2.3659
Epoch 0, Batch 800/1875: Loss=2.4984
Epoch 0, Batch 850/1875: Loss=2.3181
Epoch 0, Batch 900/1875: Loss=2.5529
Epoch 0, Batch 950/1875: Loss=2.5003
Epoch 0, Batch 1000/1875: Loss=2.3729
Epoch 0, Batch 1050/1875: Loss=2.3699
Epoch 0, Batch 1100/1875: Loss=2.4453
Epoch 0, Batch 1150/1875: Loss=2.3150
Epoch 0, Batch 1200/1875: Loss=2.3439
Epoch 0, Batch 1250/1875: Loss=2.2862
Epoch 0, Batch 1300/1875: Loss=2.3358
Epoch 0, Batch 1350/1875: Loss=2.3088
Epoch 0, Batch 1400/1875: Loss=2.2489
Epoch 0, Batch 1450/1875: Loss=2.3474
Epoch 0, Batch 1500/1875: Loss=2.2290
Epoch 0, Batch 1550/1875: Loss=2.3358
Epoch 0, Batch 1600/1875: Loss=2.3552
Epoch 0, Batch 1650/1875: Loss=2.3270
Epoch 0, Batch 1700/1875: Loss=2.2407
Epoch 0, Batch 1750/1875: Loss=2.2813
Epoch 0, Batch 1800/1875: Loss=2.2876
Epoch 0, Batch 1850/1875: Loss=2.3542
Epoch 0 | Train Loss: 2.3571 | Test Accuracy: 15.06%
Epoch 1, Batch 0/1875: Loss=2.3108
Epoch 1, Batch 50/1875: Loss=2.2343
Epoch 1, Batch 100/1875: Loss=2.3126
Epoch 1, Batch 150/1875: Loss=2.2680
Epoch 1, Batch 200/1875: Loss=2.1199
Epoch 1, Batch 250/1875: Loss=2.4059
Epoch 1, Batch 300/1875: Loss=2.3280
Epoch 1, Batch 350/1875: Loss=2.0722
Epoch 1, Batch 400/1875: Loss=2.2345
Epoch 1, Batch 450/1875: Loss=2.1861
Epoch 1, Batch 500/1875: Loss=2.1821
Epoch 1, Batch 550/1875: Loss=2.1066
Epoch 1, Batch 600/1875: Loss=1.9358
Epoch 1, Batch 650/1875: Loss=2.3160
Epoch 1, Batch 700/1875: Loss=2.0623
Epoch 1, Batch 750/1875: Loss=2.0035
Epoch 1, Batch 800/1875: Loss=2.1732
Epoch 1, Batch 850/1875: Loss=2.0505
Epoch 1, Batch 900/1875: Loss=2.1275
Epoch 1, Batch 950/1875: Loss=2.1806
Epoch 1, Batch 1000/1875: Loss=2.1135
Epoch 1, Batch 1050/1875: Loss=2.3842
Epoch 1, Batch 1100/1875: Loss=2.1659
Epoch 1, Batch 1150/1875: Loss=2.3342
Epoch 1, Batch 1200/1875: Loss=2.1289
Epoch 1, Batch 1250/1875: Loss=2.0297
Epoch 1, Batch 1300/1875: Loss=1.9078
Epoch 1, Batch 1350/1875: Loss=2.0767
Epoch 1, Batch 1400/1875: Loss=1.9245
Epoch 1, Batch 1450/1875: Loss=2.0814
Epoch 1, Batch 1500/1875: Loss=1.9956
Epoch 1, Batch 1550/1875: Loss=1.8706
Epoch 1, Batch 1600/1875: Loss=1.9291
Epoch 1, Batch 1650/1875: Loss=1.8623
Epoch 1, Batch 1700/1875: Loss=2.1984
Epoch 1, Batch 1750/1875: Loss=1.9793
Epoch 1, Batch 1800/1875: Loss=2.0962
Epoch 1, Batch 1850/1875: Loss=1.6834
Epoch 1 | Train Loss: 2.1079 | Test Accuracy: 21.63%
Epoch 2, Batch 0/1875: Loss=1.9167
Epoch 2, Batch 50/1875: Loss=2.0694
Epoch 2, Batch 100/1875: Loss=1.8643
Epoch 2, Batch 150/1875: Loss=1.9522
Epoch 2, Batch 200/1875: Loss=1.7297
Epoch 2, Batch 250/1875: Loss=1.9540
Epoch 2, Batch 300/1875: Loss=2.0963
Epoch 2, Batch 350/1875: Loss=2.0179
Epoch 2, Batch 400/1875: Loss=1.9788
Epoch 2, Batch 450/1875: Loss=2.1278
Epoch 2, Batch 500/1875: Loss=2.0598
Epoch 2, Batch 550/1875: Loss=1.9897
Epoch 2, Batch 600/1875: Loss=1.9555
Epoch 2, Batch 650/1875: Loss=1.8434
Epoch 2, Batch 700/1875: Loss=2.0467
Epoch 2, Batch 750/1875: Loss=1.8087
Epoch 2, Batch 800/1875: Loss=1.8076
Epoch 2, Batch 850/1875: Loss=2.0045
Epoch 2, Batch 900/1875: Loss=2.0866
Epoch 2, Batch 950/1875: Loss=1.9482
Epoch 2, Batch 1000/1875: Loss=2.4060
Epoch 2, Batch 1050/1875: Loss=2.0169
Epoch 2, Batch 1100/1875: Loss=2.1429
Epoch 2, Batch 1150/1875: Loss=2.0893
Epoch 2, Batch 1200/1875: Loss=2.2513
Epoch 2, Batch 1250/1875: Loss=1.7939
Epoch 2, Batch 1300/1875: Loss=2.1041
Epoch 2, Batch 1350/1875: Loss=1.7289
Epoch 2, Batch 1400/1875: Loss=1.8380
Epoch 2, Batch 1450/1875: Loss=1.9795
Epoch 2, Batch 1500/1875: Loss=2.0268
Epoch 2, Batch 1550/1875: Loss=2.0779
Epoch 2, Batch 1600/1875: Loss=2.2263
Epoch 2, Batch 1650/1875: Loss=2.0078
Epoch 2, Batch 1700/1875: Loss=2.2923
Epoch 2, Batch 1750/1875: Loss=2.0867
Epoch 2, Batch 1800/1875: Loss=2.0258
Epoch 2, Batch 1850/1875: Loss=2.3166
Epoch 2 | Train Loss: 2.0168 | Test Accuracy: 11.80%
Epoch 3, Batch 0/1875: Loss=2.2831
Epoch 3, Batch 50/1875: Loss=2.2583
Epoch 3, Batch 100/1875: Loss=2.3039
Epoch 3, Batch 150/1875: Loss=2.2467
Epoch 3, Batch 200/1875: Loss=2.2045
Epoch 3, Batch 250/1875: Loss=1.8463
Epoch 3, Batch 300/1875: Loss=2.1872
Epoch 3, Batch 350/1875: Loss=2.2510
Epoch 3, Batch 400/1875: Loss=2.3585
Epoch 3, Batch 450/1875: Loss=2.1912
Epoch 3, Batch 500/1875: Loss=2.1967
Epoch 3, Batch 550/1875: Loss=2.1635
Epoch 3, Batch 600/1875: Loss=1.9616
Epoch 3, Batch 650/1875: Loss=2.0135
Epoch 3, Batch 700/1875: Loss=2.1359
Epoch 3, Batch 750/1875: Loss=2.2239
Epoch 3, Batch 800/1875: Loss=1.9919
Epoch 3, Batch 850/1875: Loss=2.1844
Epoch 3, Batch 900/1875: Loss=2.3129
Epoch 3, Batch 950/1875: Loss=2.1448
Epoch 3, Batch 1000/1875: Loss=2.0454
Epoch 3, Batch 1050/1875: Loss=1.9852
Epoch 3, Batch 1100/1875: Loss=1.8977
Epoch 3, Batch 1150/1875: Loss=1.9660
Epoch 3, Batch 1200/1875: Loss=1.9248
Epoch 3, Batch 1250/1875: Loss=1.6806
Epoch 3, Batch 1300/1875: Loss=2.2040
Epoch 3, Batch 1350/1875: Loss=2.0173
Epoch 3, Batch 1400/1875: Loss=1.7857
Epoch 3, Batch 1450/1875: Loss=1.7711
Epoch 3, Batch 1500/1875: Loss=2.0604
Epoch 3, Batch 1550/1875: Loss=2.2272
Epoch 3, Batch 1600/1875: Loss=1.8558
Epoch 3, Batch 1650/1875: Loss=2.3784
Epoch 3, Batch 1700/1875: Loss=2.1668
Epoch 3, Batch 1750/1875: Loss=1.9692
Epoch 3, Batch 1800/1875: Loss=1.9282
Epoch 3, Batch 1850/1875: Loss=2.3387
Epoch 3 | Train Loss: 2.1048 | Test Accuracy: 24.09%
Epoch 4, Batch 0/1875: Loss=1.9842
Epoch 4, Batch 50/1875: Loss=2.0115
Epoch 4, Batch 100/1875: Loss=2.1354
Epoch 4, Batch 150/1875: Loss=2.0297
Epoch 4, Batch 200/1875: Loss=2.1145
Epoch 4, Batch 250/1875: Loss=1.8504
Epoch 4, Batch 300/1875: Loss=1.9745
Epoch 4, Batch 350/1875: Loss=1.9752
Epoch 4, Batch 400/1875: Loss=1.9808
Epoch 4, Batch 450/1875: Loss=2.0522
Epoch 4, Batch 500/1875: Loss=2.1286
Epoch 4, Batch 550/1875: Loss=2.0858
Epoch 4, Batch 600/1875: Loss=2.0782
Epoch 4, Batch 650/1875: Loss=1.8753
Epoch 4, Batch 700/1875: Loss=1.7125
Epoch 4, Batch 750/1875: Loss=1.7444
Epoch 4, Batch 800/1875: Loss=2.0504
Epoch 4, Batch 850/1875: Loss=1.8985
Epoch 4, Batch 900/1875: Loss=1.9590
Epoch 4, Batch 950/1875: Loss=1.7148
Epoch 4, Batch 1000/1875: Loss=1.7886
Epoch 4, Batch 1050/1875: Loss=2.0508
Epoch 4, Batch 1100/1875: Loss=1.8542
Epoch 4, Batch 1150/1875: Loss=1.8426
Epoch 4, Batch 1200/1875: Loss=2.0856
Epoch 4, Batch 1250/1875: Loss=1.8721
Epoch 4, Batch 1300/1875: Loss=1.9506
Epoch 4, Batch 1350/1875: Loss=1.8487
Epoch 4, Batch 1400/1875: Loss=1.8908
Epoch 4, Batch 1450/1875: Loss=1.8369
Epoch 4, Batch 1500/1875: Loss=1.8884
Epoch 4, Batch 1550/1875: Loss=2.0528
Epoch 4, Batch 1600/1875: Loss=1.9509
Epoch 4, Batch 1650/1875: Loss=1.9860
Epoch 4, Batch 1700/1875: Loss=2.0247
Epoch 4, Batch 1750/1875: Loss=1.8766
Epoch 4, Batch 1800/1875: Loss=2.1304
Epoch 4, Batch 1850/1875: Loss=1.7547
Epoch 4 | Train Loss: 1.9707 | Test Accuracy: 28.42%
Epoch 5, Batch 0/1875: Loss=1.8393
Epoch 5, Batch 50/1875: Loss=2.0071
Epoch 5, Batch 100/1875: Loss=2.1450
Epoch 5, Batch 150/1875: Loss=1.9851
Epoch 5, Batch 200/1875: Loss=1.8745
Epoch 5, Batch 250/1875: Loss=2.5533
Epoch 5, Batch 300/1875: Loss=2.1950
Epoch 5, Batch 350/1875: Loss=2.1665
Epoch 5, Batch 400/1875: Loss=2.1000
Epoch 5, Batch 450/1875: Loss=1.9921
Epoch 5, Batch 500/1875: Loss=2.0536
Epoch 5, Batch 550/1875: Loss=2.1991
Epoch 5, Batch 600/1875: Loss=2.1994
Epoch 5, Batch 650/1875: Loss=2.1570
Epoch 5, Batch 700/1875: Loss=1.7741
Epoch 5, Batch 750/1875: Loss=1.9779
Epoch 5, Batch 800/1875: Loss=2.2306
Epoch 5, Batch 850/1875: Loss=2.0000
Epoch 5, Batch 900/1875: Loss=2.0875
Epoch 5, Batch 950/1875: Loss=2.0796
Epoch 5, Batch 1000/1875: Loss=1.9902
Epoch 5, Batch 1050/1875: Loss=2.1666
Epoch 5, Batch 1100/1875: Loss=1.8883
Epoch 5, Batch 1150/1875: Loss=1.8304
Epoch 5, Batch 1200/1875: Loss=2.0682
Epoch 5, Batch 1250/1875: Loss=2.0164
Epoch 5, Batch 1300/1875: Loss=1.8461
Epoch 5, Batch 1350/1875: Loss=2.0216
Epoch 5, Batch 1400/1875: Loss=1.8487
Epoch 5, Batch 1450/1875: Loss=2.1012
Epoch 5, Batch 1500/1875: Loss=2.0246
Epoch 5, Batch 1550/1875: Loss=1.8436
Epoch 5, Batch 1600/1875: Loss=2.0400
Epoch 5, Batch 1650/1875: Loss=1.9408
Epoch 5, Batch 1700/1875: Loss=2.0681
Epoch 5, Batch 1750/1875: Loss=2.0593
Epoch 5, Batch 1800/1875: Loss=1.9058
Epoch 5, Batch 1850/1875: Loss=2.1679
Epoch 5 | Train Loss: 2.0513 | Test Accuracy: 24.10%
Epoch 6, Batch 0/1875: Loss=2.0996
Epoch 6, Batch 50/1875: Loss=2.0497
Epoch 6, Batch 100/1875: Loss=1.7734
Epoch 6, Batch 150/1875: Loss=2.0436
Epoch 6, Batch 200/1875: Loss=2.0135
Epoch 6, Batch 250/1875: Loss=1.9879
Epoch 6, Batch 300/1875: Loss=2.3025
Epoch 6, Batch 350/1875: Loss=2.2330
Epoch 6, Batch 400/1875: Loss=2.0048
Epoch 6, Batch 450/1875: Loss=2.1210
Epoch 6, Batch 500/1875: Loss=2.1221
Epoch 6, Batch 550/1875: Loss=1.8994
Epoch 6, Batch 600/1875: Loss=1.9758
Epoch 6, Batch 650/1875: Loss=1.9094
Epoch 6, Batch 700/1875: Loss=2.0938
Epoch 6, Batch 750/1875: Loss=2.1234
Epoch 6, Batch 800/1875: Loss=2.2052
Epoch 6, Batch 850/1875: Loss=2.1069
Epoch 6, Batch 900/1875: Loss=1.9777
Epoch 6, Batch 950/1875: Loss=2.0660
Epoch 6, Batch 1000/1875: Loss=1.9303
Epoch 6, Batch 1050/1875: Loss=2.0237
Epoch 6, Batch 1100/1875: Loss=1.9785
Epoch 6, Batch 1150/1875: Loss=1.9918
Epoch 6, Batch 1200/1875: Loss=1.9324
Epoch 6, Batch 1250/1875: Loss=2.0640
Epoch 6, Batch 1300/1875: Loss=1.8704
Epoch 6, Batch 1350/1875: Loss=2.0746
Epoch 6, Batch 1400/1875: Loss=1.9340
Epoch 6, Batch 1450/1875: Loss=1.9706
Epoch 6, Batch 1500/1875: Loss=2.0299
Epoch 6, Batch 1550/1875: Loss=1.8415
Epoch 6, Batch 1600/1875: Loss=1.9379
Epoch 6, Batch 1650/1875: Loss=1.9817
Epoch 6, Batch 1700/1875: Loss=1.7866
Epoch 6, Batch 1750/1875: Loss=1.8105
Epoch 6, Batch 1800/1875: Loss=2.1261
Epoch 6, Batch 1850/1875: Loss=1.8206
Epoch 6 | Train Loss: 2.0183 | Test Accuracy: 25.72%
Epoch 7, Batch 0/1875: Loss=1.9705
Epoch 7, Batch 50/1875: Loss=1.9041
Epoch 7, Batch 100/1875: Loss=1.9844
Epoch 7, Batch 150/1875: Loss=1.8931
Epoch 7, Batch 200/1875: Loss=2.1454
Epoch 7, Batch 250/1875: Loss=1.8336
Epoch 7, Batch 300/1875: Loss=2.0064
Epoch 7, Batch 350/1875: Loss=1.7223
Epoch 7, Batch 400/1875: Loss=2.2200
Epoch 7, Batch 450/1875: Loss=2.0383
Epoch 7, Batch 500/1875: Loss=1.9443
Epoch 7, Batch 550/1875: Loss=2.1492
Epoch 7, Batch 600/1875: Loss=1.8231
Epoch 7, Batch 650/1875: Loss=2.0038
Epoch 7, Batch 700/1875: Loss=2.1017
Epoch 7, Batch 750/1875: Loss=1.7761
Epoch 7, Batch 800/1875: Loss=1.8980
Epoch 7, Batch 850/1875: Loss=2.0026
Epoch 7, Batch 900/1875: Loss=1.9899
Epoch 7, Batch 950/1875: Loss=1.9540
Epoch 7, Batch 1000/1875: Loss=1.9085
Epoch 7, Batch 1050/1875: Loss=1.7031
Epoch 7, Batch 1100/1875: Loss=1.7498
Epoch 7, Batch 1150/1875: Loss=2.0710
Epoch 7, Batch 1200/1875: Loss=1.7067
Epoch 7, Batch 1250/1875: Loss=1.7112
Epoch 7, Batch 1300/1875: Loss=1.9818
Epoch 7, Batch 1350/1875: Loss=1.9995
Epoch 7, Batch 1400/1875: Loss=1.8374
Epoch 7, Batch 1450/1875: Loss=2.2142
Epoch 7, Batch 1500/1875: Loss=1.7665
Epoch 7, Batch 1550/1875: Loss=1.7432
Epoch 7, Batch 1600/1875: Loss=1.7060
Epoch 7, Batch 1650/1875: Loss=1.8926
Epoch 7, Batch 1700/1875: Loss=1.6502
Epoch 7, Batch 1750/1875: Loss=2.2442
Epoch 7, Batch 1800/1875: Loss=1.8907
Epoch 7, Batch 1850/1875: Loss=1.8660
Epoch 7 | Train Loss: 1.9611 | Test Accuracy: 26.00%
Epoch 8, Batch 0/1875: Loss=1.7673
Epoch 8, Batch 50/1875: Loss=1.8657
Epoch 8, Batch 100/1875: Loss=2.0491
Epoch 8, Batch 150/1875: Loss=1.7969
Epoch 8, Batch 200/1875: Loss=2.1033
Epoch 8, Batch 250/1875: Loss=1.8639
Epoch 8, Batch 300/1875: Loss=2.2135
Epoch 8, Batch 350/1875: Loss=1.8959
Epoch 8, Batch 400/1875: Loss=2.0614
Epoch 8, Batch 450/1875: Loss=1.8595
Epoch 8, Batch 500/1875: Loss=1.8303
Epoch 8, Batch 550/1875: Loss=2.1453
Epoch 8, Batch 600/1875: Loss=1.9527
Epoch 8, Batch 650/1875: Loss=1.9673
Epoch 8, Batch 700/1875: Loss=2.1412
Epoch 8, Batch 750/1875: Loss=2.1155
Epoch 8, Batch 800/1875: Loss=2.1169
Epoch 8, Batch 850/1875: Loss=2.0492
Epoch 8, Batch 900/1875: Loss=2.0909
Epoch 8, Batch 950/1875: Loss=2.0120
Epoch 8, Batch 1000/1875: Loss=1.9673
Epoch 8, Batch 1050/1875: Loss=2.1491
Epoch 8, Batch 1100/1875: Loss=1.9868
Epoch 8, Batch 1150/1875: Loss=1.8810
Epoch 8, Batch 1200/1875: Loss=2.1521
Epoch 8, Batch 1250/1875: Loss=2.1219
Epoch 8, Batch 1300/1875: Loss=1.9352
Epoch 8, Batch 1350/1875: Loss=2.0771
Epoch 8, Batch 1400/1875: Loss=2.0150
Epoch 8, Batch 1450/1875: Loss=2.1032
Epoch 8, Batch 1500/1875: Loss=1.6987
Epoch 8, Batch 1550/1875: Loss=2.2014
Epoch 8, Batch 1600/1875: Loss=2.0855
Epoch 8, Batch 1650/1875: Loss=1.9961
Epoch 8, Batch 1700/1875: Loss=1.8811
Epoch 8, Batch 1750/1875: Loss=2.1878
Epoch 8, Batch 1800/1875: Loss=1.9328
Epoch 8, Batch 1850/1875: Loss=1.9032
Epoch 8 | Train Loss: 2.0050 | Test Accuracy: 24.05%
Epoch 9, Batch 0/1875: Loss=1.9345
Epoch 9, Batch 50/1875: Loss=1.9458
Epoch 9, Batch 100/1875: Loss=1.9240
Epoch 9, Batch 150/1875: Loss=1.9449
Epoch 9, Batch 200/1875: Loss=1.9109
Epoch 9, Batch 250/1875: Loss=1.9162
Epoch 9, Batch 300/1875: Loss=2.0439
Epoch 9, Batch 350/1875: Loss=1.7270
Epoch 9, Batch 400/1875: Loss=1.9782
Epoch 9, Batch 450/1875: Loss=1.8667
Epoch 9, Batch 500/1875: Loss=1.9968
Epoch 9, Batch 550/1875: Loss=1.8915
Epoch 9, Batch 600/1875: Loss=1.8701
Epoch 9, Batch 650/1875: Loss=2.1438
Epoch 9, Batch 700/1875: Loss=1.8953
Epoch 9, Batch 750/1875: Loss=2.1870
Epoch 9, Batch 800/1875: Loss=2.0454
Epoch 9, Batch 850/1875: Loss=1.9752
Epoch 9, Batch 900/1875: Loss=1.8350
Epoch 9, Batch 950/1875: Loss=2.0824
Epoch 9, Batch 1000/1875: Loss=1.8097
Epoch 9, Batch 1050/1875: Loss=2.0808
Epoch 9, Batch 1100/1875: Loss=1.8812
Epoch 9, Batch 1150/1875: Loss=1.8676
Epoch 9, Batch 1200/1875: Loss=2.0135
Epoch 9, Batch 1250/1875: Loss=1.9354
Epoch 9, Batch 1300/1875: Loss=1.9390
Epoch 9, Batch 1350/1875: Loss=1.8654
Epoch 9, Batch 1400/1875: Loss=2.1349
Epoch 9, Batch 1450/1875: Loss=2.0686
Epoch 9, Batch 1500/1875: Loss=1.8841
Epoch 9, Batch 1550/1875: Loss=2.2026
Epoch 9, Batch 1600/1875: Loss=1.9496
Epoch 9, Batch 1650/1875: Loss=2.0587
Epoch 9, Batch 1700/1875: Loss=2.0297
Epoch 9, Batch 1750/1875: Loss=2.1591
Epoch 9, Batch 1800/1875: Loss=1.9283
Epoch 9, Batch 1850/1875: Loss=2.1017
Epoch 9 | Train Loss: 1.9903 | Test Accuracy: 17.59%
Final Test Accuracy: 17.59%

--- QI ViT-B/16 with Jet Loss ---
Epoch 0, Batch 0/1875: Loss=2.2382
Epoch 0, Batch 50/1875: Loss=2.4480
Epoch 0, Batch 100/1875: Loss=2.3658
